Appid,name,header_image,,developer,,,,categories,genres,steamspy_tags,,positive_ratings,negative_ratings,,median_playtime,,price
242760,The Forest,https://steamcdn-a.akamaihd.net/steam/apps/242760/header.jpg?t=1527008565,,Endnight Games Ltd,,,,Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;Simulation,Survival;Open World;Horror,,110460,8881,,1127,,15.49
377160,Fallout 4,https://steamcdn-a.akamaihd.net/steam/apps/377160/header.jpg?t=1533676954,,Bethesda Game Studios,,,,Single-player;Steam Achievements;Full controller support;Steam Cloud,RPG,Open World;Post-apocalyptic;Exploration,,110376,45377,,2904,,19.99
322330,Don't Starve Together,https://steamcdn-a.akamaihd.net/steam/apps/322330/header.jpg?t=1554148952,,Klei Entertainment,,,,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Full controller support;Steam Trading Cards;Steam Workshop,Adventure;Indie;Simulation,Survival;Multiplayer;Co-op,,108601,4206,,404,,10.99
107410,Arma 3,https://steamcdn-a.akamaihd.net/steam/apps/107410/header.jpg?t=1555523617,,Bohemia Interactive,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor,Action;Simulation;Strategy,Simulation;Military;Multiplayer,,105034,12524,,3621,,29.99
374320,DARK SOULS™ III,https://steamcdn-a.akamaihd.net/steam/apps/374320/header.jpg?t=1553251330,,"FromSoftware, Inc.",,,,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action,Dark Fantasy;Difficult;RPG,,100412,9953,,1776,,39.99
391540,Undertale,https://steamcdn-a.akamaihd.net/steam/apps/391540/header.jpg?t=1503525486,,tobyfox,,,,Single-player;Steam Trading Cards,Indie;RPG,Great Soundtrack;Story Rich;Choices Matter,,97832,4496,,443,,6.99
203160,Tomb Raider,https://steamcdn-a.akamaihd.net/steam/apps/203160/header.jpg?t=1556055956,,Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux),,,,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Adventure;Action;Female Protagonist,,93509,4103,,475,,14.99
222880,Insurgency,https://steamcdn-a.akamaihd.net/steam/apps/222880/header.jpg?t=1545400388,,New World Interactive,,,,Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor,Action;Indie;Strategy,FPS;Realistic;Tactical,,92355,9570,,245,,6.99
264710,Subnautica,https://steamcdn-a.akamaihd.net/steam/apps/264710/header.jpg?t=1550030194,,Unknown Worlds Entertainment,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,Adventure;Indie,Survival;Open World;Exploration,,90155,5413,,937,,19.49
236390,War Thunder,https://steamcdn-a.akamaihd.net/steam/apps/236390/header.jpg?t=1552405945,,Gaijin Entertainment,,,,Single-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Partial Controller Support,Action;Free to Play;Massively Multiplayer;Simulation,Free to Play;World War II;Multiplayer,,83852,22166,,297,,0
301520,Robocraft,https://steamcdn-a.akamaihd.net/steam/apps/301520/header.jpg?t=1553776646,,Freejam,,,,Multi-player;Online Multi-Player;MMO;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation,Free to Play;Robots;Building,,80360,30987,,211,,0
8870,BioShock Infinite,https://steamcdn-a.akamaihd.net/steam/apps/8870/header.jpg?t=1545232935,,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,FPS;Story Rich;Action,,79442,3846,,519,,19.99
239140,Dying Light,https://steamcdn-a.akamaihd.net/steam/apps/239140/header.jpg?t=1556201496,,Techland,,,,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;RPG,Zombies;Survival;Open World,,78192,6176,,1299,,24.99
240,Counter-Strike: Source,https://steamcdn-a.akamaihd.net/steam/apps/240/header.jpg?t=1515613564,,Valve,,,,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,,76640,3497,,400,,7.19
48700,Mount & Blade: Warband,https://steamcdn-a.akamaihd.net/steam/apps/48700/header.jpg?t=1542899168,,TaleWorlds Entertainment,,,,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,Action;RPG,Medieval;RPG;Open World,,75872,2213,,1884,,14.99
